"objectid","crtr_yr","stdg_cd","stdg_nm","sgg_cd","sgg_nm","sigun_cd","sigun_nm","flod_dngr_idx","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
5249,"2016","41820345  ",조종면,"41820",가평군,"41820",가평군,0.9149597265,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5250,"2016","41820350  ",북면,"41820",가평군,"41820",가평군,0.9618507590,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5251,"2016","41830250  ",양평읍,"41830",양평군,"41830",양평군,0.5886192052,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5252,"2022","41830395  ",지평면,"41830",양평군,"41830",양평군,0.9772962893,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5253,"2022","41830400  ",용문면,"41830",양평군,"41830",양평군,1.0009490521,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5254,"2022","41830410  ",개군면,"41830",양평군,"41830",양평군,1.0155077776,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5255,"2016","41115121  ",팔달로2가,"41115",수원시 팔달구,"41110",수원시,0.7553135157,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5256,"2016","41550113  ",인지동,"41550",안성시,"41550",안성시,0.8439402401,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5257,"2016","41115130  ",신풍동,"41115",수원시 팔달구,"41110",수원시,0.7120093622,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5258,"2016","41111134  ",영화동,"41111",수원시 장안구,"41110",수원시,0.8455167935,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5259,"2016","41113127  ",평동,"41113",수원시 권선구,"41110",수원시,0.5922079977,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5260,"2022","41111130  ",정자동,"41111",수원시 장안구,"41110",수원시,1.1797356717,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5261,"2016","41115126  ",구천동,"41115",수원시 팔달구,"41110",수원시,0.8005671601,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5262,"2016","41111136  ",조원동,"41111",수원시 장안구,"41110",수원시,0.5635604548,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5263,"2016","41115122  ",팔달로3가,"41115",수원시 팔달구,"41110",수원시,0.8149814521,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5264,"2016","41113128  ",고색동,"41113",수원시 권선구,"41110",수원시,0.5006769243,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5265,"2016","41113129  ",오목천동,"41113",수원시 권선구,"41110",수원시,0.4901984448,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5266,"2016","41830320  ",강하면,"41830",양평군,"41830",양평군,0.4945056304,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5267,"2016","41830330  ",양서면,"41830",양평군,"41830",양평군,0.6701450305,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5268,"2016","41111137  ",연무동,"41111",수원시 장안구,"41110",수원시,0.8704500091,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5269,"2016","41115131  ",장안동,"41115",수원시 팔달구,"41110",수원시,0.8942082931,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5270,"2016","41111138  ",상광교동,"41111",수원시 장안구,"41110",수원시,0.2623826634,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5271,"2016","41115127  ",남수동,"41115",수원시 팔달구,"41110",수원시,0.8411486566,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5272,"2016","41111139  ",하광교동,"41111",수원시 장안구,"41110",수원시,0.2206227192,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5273,"2016","41113126  ",세류동,"41113",수원시 권선구,"41110",수원시,0.7473164816,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
