"fbctn_yr","admdst_cd","admdst_se_cd","impvs_cd","admdst_nm","impvs_nm","biotop_area","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2025","4129000000",ADM002,E,과천시,녹지,26008715.565251022,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4129000000",ADM002,F,과천시,수공간,683960.438633206,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4131000000",ADM002,A,구리시,건폐지,8609941.374211289,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4131000000",ADM002,B,구리시,비건폐포장지,3634799.070940159,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4131000000",ADM002,C,구리시,반투수포장지,2071850.678192884,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4131000000",ADM002,D,구리시,투수포장,922720.876556343,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4131000000",ADM002,E,구리시,녹지,14461482.045849488,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4131000000",ADM002,F,구리시,수공간,3516366.491057238,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4136000000",ADM002,A,남양주시,건폐지,71966916.276690660,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4136000000",ADM002,B,남양주시,비건폐포장지,17960527.105084555,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4136000000",ADM002,C,남양주시,반투수포장지,14726694.918255306,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4136000000",ADM002,D,남양주시,투수포장,10491779.867865574,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4136000000",ADM002,E,남양주시,녹지,328653177.884849178,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4136000000",ADM002,F,남양주시,수공간,15865171.725562245,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4137000000",ADM002,A,오산시,건폐지,13327195.263617181,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4137000000",ADM002,B,오산시,비건폐포장지,5440310.917804054,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4137000000",ADM002,C,오산시,반투수포장지,3933905.234978849,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4137000000",ADM002,D,오산시,투수포장,637102.533082661,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4137000000",ADM002,E,오산시,녹지,18365105.140877070,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4137000000",ADM002,F,오산시,수공간,959258.913642627,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4139000000",ADM002,A,시흥시,건폐지,36617755.846663514,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4139000000",ADM002,B,시흥시,비건폐포장지,17387324.011716534,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4139000000",ADM002,C,시흥시,반투수포장지,5875161.491730326,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4139000000",ADM002,D,시흥시,투수포장,4785463.958071630,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4139000000",ADM002,E,시흥시,녹지,72973993.897780947,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
