"fbctn_yr","stdg_cd","impvs_cd","stdg_nm","impvs_nm","biotop_area","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2025","41111137  ",A,연무동,건폐지,548731.189663060,system,2025-07-17 15:14:38.267,system,2025-07-17 15:14:38.267
"2025","41111137  ",B,연무동,비건폐포장지,167992.531876347,system,2025-07-17 15:14:38.267,system,2025-07-17 15:14:38.267
"2025","41111137  ",C,연무동,반투수포장지,1226.098431030,system,2025-07-17 15:14:38.267,system,2025-07-17 15:14:38.267
"2025","41111137  ",D,연무동,투수포장,1147.783738189,system,2025-07-17 15:14:38.267,system,2025-07-17 15:14:38.267
"2025","41111137  ",E,연무동,녹지,220075.650359076,system,2025-07-17 15:14:38.267,system,2025-07-17 15:14:38.267
"2025","41111137  ",F,연무동,수공간,8457.038418930,system,2025-07-17 15:14:38.267,system,2025-07-17 15:14:38.267
"2025","41115131  ",A,장안동,건폐지,76423.448519859,system,2025-07-17 15:14:38.633,system,2025-07-17 15:14:38.633
"2025","41115131  ",B,장안동,비건폐포장지,19941.586617348,system,2025-07-17 15:14:38.633,system,2025-07-17 15:14:38.633
"2025","41115131  ",C,장안동,반투수포장지,2189.301781846,system,2025-07-17 15:14:38.633,system,2025-07-17 15:14:38.633
"2025","41115131  ",E,장안동,녹지,13655.782979654,system,2025-07-17 15:14:38.633,system,2025-07-17 15:14:38.633
"2025","41111138  ",A,상광교동,건폐지,166217.867698848,system,2025-07-17 15:14:38.714,system,2025-07-17 15:14:38.714
"2025","41111138  ",B,상광교동,비건폐포장지,66752.912621178,system,2025-07-17 15:14:38.714,system,2025-07-17 15:14:38.714
"2025","41111138  ",C,상광교동,반투수포장지,9585.912076692,system,2025-07-17 15:14:38.714,system,2025-07-17 15:14:38.714
"2025","41111138  ",D,상광교동,투수포장,45612.754603100,system,2025-07-17 15:14:38.714,system,2025-07-17 15:14:38.714
"2025","41111138  ",E,상광교동,녹지,5465761.839122250,system,2025-07-17 15:14:38.714,system,2025-07-17 15:14:38.714
"2025","41111138  ",F,상광교동,수공간,83365.278524207,system,2025-07-17 15:14:38.714,system,2025-07-17 15:14:38.714
"2025","41115127  ",A,남수동,건폐지,78700.925014765,system,2025-07-17 15:14:39.457,system,2025-07-17 15:14:39.457
"2025","41115127  ",B,남수동,비건폐포장지,35076.944707637,system,2025-07-17 15:14:39.457,system,2025-07-17 15:14:39.457
"2025","41115127  ",C,남수동,반투수포장지,3207.769899191,system,2025-07-17 15:14:39.457,system,2025-07-17 15:14:39.457
"2025","41115127  ",E,남수동,녹지,68378.833429391,system,2025-07-17 15:14:39.457,system,2025-07-17 15:14:39.457
"2025","41115127  ",F,남수동,수공간,3101.950458277,system,2025-07-17 15:14:39.457,system,2025-07-17 15:14:39.457
"2025","41111139  ",A,하광교동,건폐지,291948.055327623,system,2025-07-17 15:14:39.559,system,2025-07-17 15:14:39.559
"2025","41111139  ",B,하광교동,비건폐포장지,164347.630960654,system,2025-07-17 15:14:39.559,system,2025-07-17 15:14:39.559
"2025","41111139  ",C,하광교동,반투수포장지,9469.416544571,system,2025-07-17 15:14:39.559,system,2025-07-17 15:14:39.559
"2025","41111139  ",D,하광교동,투수포장,37007.400426153,system,2025-07-17 15:14:39.559,system,2025-07-17 15:14:39.559
"2025","41111139  ",E,하광교동,녹지,3956913.939363310,system,2025-07-17 15:14:39.559,system,2025-07-17 15:14:39.559
"2025","41111139  ",F,하광교동,수공간,336265.210948147,system,2025-07-17 15:14:39.559,system,2025-07-17 15:14:39.559
"2025","41113126  ",A,세류동,건폐지,2423752.062275330,system,2025-07-17 15:14:40.694,system,2025-07-17 15:14:40.694
"2025","41113126  ",B,세류동,비건폐포장지,715081.591684943,system,2025-07-17 15:14:40.694,system,2025-07-17 15:14:40.694
"2025","41113126  ",C,세류동,반투수포장지,132104.265741293,system,2025-07-17 15:14:40.694,system,2025-07-17 15:14:40.694
"2025","41113126  ",D,세류동,투수포장,37.648466806,system,2025-07-17 15:14:40.694,system,2025-07-17 15:14:40.694
"2025","41113126  ",E,세류동,녹지,388899.301938374,system,2025-07-17 15:14:40.694,system,2025-07-17 15:14:40.694
"2025","41113126  ",F,세류동,수공간,13413.849466720,system,2025-07-17 15:14:40.694,system,2025-07-17 15:14:40.694
"2025","41113127  ",A,평동,건폐지,313822.602735535,system,2025-07-17 15:14:42.002,system,2025-07-17 15:14:42.002
"2025","41113127  ",B,평동,비건폐포장지,188902.720091374,system,2025-07-17 15:14:42.002,system,2025-07-17 15:14:42.002
"2025","41113127  ",C,평동,반투수포장지,82025.834551498,system,2025-07-17 15:14:42.002,system,2025-07-17 15:14:42.002
"2025","41113127  ",D,평동,투수포장,437.314979589,system,2025-07-17 15:14:42.002,system,2025-07-17 15:14:42.002
"2025","41113127  ",E,평동,녹지,180152.314956094,system,2025-07-17 15:14:42.002,system,2025-07-17 15:14:42.002
"2025","41113127  ",F,평동,수공간,26922.831567872,system,2025-07-17 15:14:42.002,system,2025-07-17 15:14:42.002
"2025","41113128  ",A,고색동,건폐지,2111975.580510480,system,2025-07-17 15:14:42.221,system,2025-07-17 15:14:42.221
"2025","41113128  ",B,고색동,비건폐포장지,847770.860112272,system,2025-07-17 15:14:42.221,system,2025-07-17 15:14:42.221
"2025","41113128  ",C,고색동,반투수포장지,286983.227143655,system,2025-07-17 15:14:42.221,system,2025-07-17 15:14:42.221
"2025","41113128  ",D,고색동,투수포장,13817.126412449,system,2025-07-17 15:14:42.221,system,2025-07-17 15:14:42.221
"2025","41113128  ",E,고색동,녹지,1324747.626737620,system,2025-07-17 15:14:42.221,system,2025-07-17 15:14:42.221
"2025","41113128  ",F,고색동,수공간,72177.505458769,system,2025-07-17 15:14:42.221,system,2025-07-17 15:14:42.221
"2025","41113129  ",A,오목천동,건폐지,1208923.038700790,system,2025-07-17 15:14:43.425,system,2025-07-17 15:14:43.425
"2025","41113129  ",B,오목천동,비건폐포장지,424366.984072819,system,2025-07-17 15:14:43.425,system,2025-07-17 15:14:43.425
"2025","41113129  ",C,오목천동,반투수포장지,287376.072360424,system,2025-07-17 15:14:43.425,system,2025-07-17 15:14:43.425
