"crtr_yr","admdst_se_cd","admdst_cd","admdst_nm","ldsld_dngr_grd1_area","ldsld_dngr_grd2_area","ldsld_dngr_grd3_area","ldsld_dngr_grd4_area","ldsld_dngr_grd5_area","ldsld_dngr_grd1_area_rt","ldsld_dngr_grd2_area_rt","ldsld_dngr_grd3_area_rt","ldsld_dngr_grd4_area_rt","ldsld_dngr_grd5_area_rt","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2023",ADM004,"31240670",새솔동,900.000000000,200.000000000,0.000000000,100.000000000,1800.000000000,0.30,0.07,0.00,0.03,0.60,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31240691",동탄7동,54200.000000000,136000.000000000,182300.000000000,110000.000000000,65400.000000000,0.10,0.25,0.33,0.20,0.12,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31240700",동탄6동,63900.000000000,158800.000000000,177800.000000000,167100.000000000,104800.000000000,0.10,0.24,0.26,0.25,0.16,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31240710",동탄8동,85600.000000000,256800.000000000,364100.000000000,775500.000000000,753700.000000000,0.04,0.11,0.16,0.35,0.34,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31240720",동탄9동,398100.000000000,896200.000000000,855100.000000000,691500.000000000,365700.000000000,0.12,0.28,0.27,0.22,0.11,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31250120",초월읍,1976100.000000000,6687700.000000000,7428600.000000000,12223800.000000000,4753400.000000000,0.06,0.20,0.22,0.37,0.14,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31250140",곤지암읍,4629100.000000000,13334900.000000000,11415600.000000000,12825500.000000000,4347300.000000000,0.10,0.29,0.25,0.28,0.09,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31250340",도척면,2294900.000000000,6763000.000000000,7511400.000000000,10769000.000000000,4503700.000000000,0.07,0.21,0.24,0.34,0.14,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31250350",퇴촌면,2706700.000000000,8346200.000000000,9830000.000000000,18054900.000000000,6110400.000000000,0.06,0.19,0.22,0.40,0.14,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31250560",쌍령동,71200.000000000,266100.000000000,373800.000000000,593200.000000000,359500.000000000,0.04,0.16,0.22,0.36,0.22,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31250590",광남2동,40800.000000000,160300.000000000,205400.000000000,296800.000000000,119500.000000000,0.05,0.19,0.25,0.36,0.15,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31260110",백석읍,1737400.000000000,3428200.000000000,4018700.000000000,5233100.000000000,3522800.000000000,0.10,0.19,0.22,0.29,0.20,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31260310",은현면,618300.000000000,919200.000000000,1235100.000000000,1548100.000000000,991700.000000000,0.12,0.17,0.23,0.29,0.19,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31260320",남면,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00,0.00,0.00,0.00,0.00,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31023550",정자2동,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00,0.00,0.00,0.00,0.00,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31060700",일직동,80400.000000000,247300.000000000,298100.000000000,542800.000000000,374700.000000000,0.05,0.16,0.19,0.35,0.24,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31101515",행신4동,3300.000000000,13800.000000000,25300.000000000,37400.000000000,23400.000000000,0.03,0.13,0.25,0.36,0.23,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31011610",연무동,626500.000000000,1782400.000000000,1973900.000000000,2694700.000000000,1343200.000000000,0.07,0.21,0.23,0.32,0.16,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31011620",정자3동,100.000000000,400.000000000,2700.000000000,7000.000000000,2900.000000000,0.01,0.03,0.21,0.53,0.22,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
