"cmpttn_yr","admdst_cd","admdst_se_cd","admdst_nm","bldg_elpwr_use_cbn_ehqty","bldg_gas_use_cbn_ehqty","bldg_hetng_use_cbn_ehqty","trsp_lv6_cbn_ehqty","sum_ehqty","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2013","4183000000",ADM002,양평군,361084.7800000000,17206.8900000000,0.0000000000,0.0000000000,378291.6700000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4111000000",ADM002,수원시,2235032.0900000000,1006551.3300000000,137859.1800000000,0.0000000000,3379442.6000000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4113000000",ADM002,성남시,1960734.9400000000,739468.2700000000,195252.7000000000,0.0000000000,2895455.9100000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4115000000",ADM002,의정부시,597092.8200000000,397474.6400000000,3683.2800000000,0.0000000000,998250.7400000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4117000000",ADM002,안양시,1045061.7800000000,376179.3300000000,69835.2700000000,0.0000000000,1491076.3800000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4119000000",ADM002,부천시,1827729.6700000000,652777.3300000000,78510.3500000000,0.0000000000,2559017.3500000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4121000000",ADM002,광명시,499194.9400000000,312307.1400000000,10574.7200000000,0.0000000000,822076.8000000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4122000000",ADM002,평택시,2826091.8600000000,837893.1300000000,2355.2400000000,0.0000000000,3666340.2300000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4125000000",ADM002,동두천시,242703.1300000000,122810.2200000000,0.0000000000,0.0000000000,365513.3500000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4127000000",ADM002,안산시,3680686.0200000000,1153824.7500000000,52568.8600000000,0.0000000000,4887079.6300000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4128000000",ADM002,고양시,1814104.2200000000,493720.4700000000,226256.4300000000,0.0000000000,2534081.1200000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4129000000",ADM002,과천시,134399.1800000000,39771.4700000000,12434.8800000000,0.0000000000,186605.5300000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4131000000",ADM002,구리시,308442.8100000000,164583.5200000000,0.0000000000,0.0000000000,473026.3300000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4136000000",ADM002,남양주시,1021378.2700000000,464564.4000000000,11117.8100000000,0.0000000000,1497060.4800000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4137000000",ADM002,오산시,462588.6200000000,131086.5700000000,21890.3800000000,0.0000000000,615565.5700000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4139000000",ADM002,시흥시,1787166.8000000000,581232.1600000000,0.0000000000,0.0000000000,2368398.9600000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4141000000",ADM002,군포시,539488.4000000000,216609.4600000000,52054.0200000000,0.0000000000,808151.8800000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4143000000",ADM002,의왕시,276778.2200000000,87416.1300000000,16655.5600000000,0.0000000000,380849.9100000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
