"crtr_ymd","admdst_cd","admdst_nm","admdst_se_cd","sum_genqy","sum_area","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt","grnd_rftp_se_cd"
"2025    ","4148000000",파주시,ADM002,1828040750.8130491660,689.208500000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF001
"2025    ","4150000000",이천시,ADM002,1205858924.1096651840,461.908000000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF001
"2025    ","4155000000",안성시,ADM002,1463518285.0586551862,553.332600000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF001
"2025    ","4113500000",분당구,ADM003,92480778.9213714652,69.703500000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF001
"2025    ","4115000000","",ADM003,214991274.7263488638,81.824900000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF001
"2025    ","4117100000",만안구,ADM003,48884334.7259674150,36.600600000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF001
"2025    ","4117300000",동안구,ADM003,29062672.1570434190,21.934100000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF001
"2025    ","4119200000",원미구,ADM003,27598559.3492889570,20.622400000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF001
"2025    ","4119400000",소사구,ADM003,17224595.4305877651,12.870100000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF001
"2025    ","4119600000",오정구,ADM003,26794074.8078460531,20.094700000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF001
"2025    ","4121000000","",ADM003,103545444.6375122220,38.545200000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF001
"2025    ","4122000000","",ADM003,1213053527.2516478246,452.509400000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF001
"2025    ","4125000000","",ADM003,248966747.3451844232,95.919700000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF001
"2025    ","4127100000",상록구,ADM003,77901884.9726409627,57.951200000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF001
"2025    ","4127300000",단원구,ADM003,125129899.4597320388,91.543400000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF001
"2025    ","4117000000",안양시,ADM002,77947006.8830108340,58.534700000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF001
"2025    ","4157000000",김포시,ADM002,349496785.4960785600,261.824600000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4157000000",김포시,ADM002,21295981.8193817200,15.947900000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4159000000",화성시,ADM002,879770867.9499205505,653.947200000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4159000000",화성시,ADM002,45689680.6545257524,34.052000000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4161000000",광주시,ADM002,548283750.9493712900,416.835200000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
