"crtr_ymd","admdst_nm","admdst_se_cd","admdst_cd","sum_genqy","sum_area","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt","grnd_rftp_se_cd"
"2025    ",처인구,ADM003,"4146100000",884875.1432037357,13.370500000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ",기흥구,ADM003,"4146300000",3762377.0020198810,43.239500000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ",기흥구,ADM003,"4146300000",382967.1885004044,5.811100000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ",수지구,ADM003,"4146500000",1530751.7529850010,17.584400000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ",수지구,ADM003,"4146500000",185922.0876884461,2.820300000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ","",ADM003,"4148000000",26673242.1134614995,304.585900000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ","",ADM003,"4148000000",1185753.7226147651,17.899700000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ","",ADM003,"4150000000",25216783.7474060029,293.060500000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ","",ADM003,"4150000000",1023403.4219965935,15.701300000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF003
"2025    ","",ADM003,"4155000000",24436507.8847827912,280.203300000,system,2025-07-14 22:23:09.541,system,2025-07-14 22:23:09.541,GRF002
"2025    ","",ADM003,"4155000000",993053.4880023001,15.039600000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF003
"2025    ","",ADM003,"4157000000",14604660.4615230480,165.846400000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF002
"2025    ","",ADM003,"4157000000",1044916.9168562887,15.650500000,system,2025-07-14 22:23:09.606,system,2025-07-14 22:23:09.606,GRF003
